backen;backt;backte;gebacken;haben
befehlen;befiehlt;befahl;befohlen;haben
beginnen;beginnt;begann;begonnen;haben
beißen;beißt;biss;gebissen;haben
betrügen;betrügt;betrog;betrogen;haben
bewegen;bewegt;bewog;bewogen;haben
biegen;biegt;bog;gebogen;sein
bieten;bietet;bot;geboten;haben
binden;bindet;band;gebunden;haben
bitten;bittet;bat;gebeten;haben
blasen;bläst;blies;geblasen;haben
bleiben;bleibt;blieb;geblieben;sein
braten;brät;briet;gebraten;haben
brechen;bricht;brach;gebrochen;haben
brennen;brennt;brannte;gebrannt;haben
bringen;bringt;brachte;gebracht;haben
denken;denkt;dachte;gedacht;haben
dürfen;darf;durfte;gedurft;haben
empfehlen;empfiehlt;empfahl;empfohlen;haben
erschrecken;erschrickt;erschrak;erschrocken;sein
essen;isst;aß;gegessen;haben
fahren;fährt;fuhr;gefahren;sein
fallen;fällt;fiel;gefallen;sein
fangen;fängt;fing;gefangen;haben
finden;findet;fand;gefunden;haben
fliegen;fliegt;flog;geflogen;sein
fliehen;flieht;floh;geflohen;sein
fließen;fließt;floss;geflossen;haben
fressen;frisst;fraß;gefressen;haben
frieren;friert;fror;gefroren;sein
geben;gibt;gab;gegeben;haben
gedeihen;gedeiht;gedieh;gediehen;sein
gehen;geht;ging;gegangen;sein
gelingen;gelingt;gelang;gelungen;sein
gelten;gilt;galt;gegolten;haben
genießen;genießt;genoss;genossen;haben
geraten;gerät;geriet;geraten;bin
geschehen;geschieht;geschah;geschehen;bin
gewinnen;gewinnt;gewann;gewonnen;haben
gießen;gießt;goss;gegossen;haben
gleichen;gleicht;glich;geglichen;haben
gleiten;gleitet;glitt;geglitten
graben;gräbt;grub;gegraben;haben
greifen;greift;griff;gegriffen;haben
haben;hat;hatte;gehabt;haben
halten;hält;hielt;gehalten;haben
hängen;hängt;hing;gehangen;haben
heben;hebt;hob;gehoben;haben
heißen;heißt;hieß;geheißen;haben
helfen;hilft;half;geholfen;haben
kennen;kennt;kannte;gekannt;haben
klingen;klingt;klang;geklungen;haben
kommen;kommt;kam;gekommen;bin
können;kann;konnte;gekonnt;haben
kriechen;kriecht;kroch;gekrochen;bin
laden;lädt;lud;geladen;haben
lassen;lässt;ließ;gelassen;haben
laufen;läuft;lief;gelaufen;bin
leiden;leidet;litt;gelitten;haben
leihen;leiht;lieh;geliehen;haben
lesen;liest;las;gelesen;haben
liegen;liegt;lag;gelegen;haben
lügen;lügt;log;gelogen;haben
messen;misst;maß;gemessen
mögen;mag;mochte;gemocht;haben
müssen;muss;musste;gemusst;haben